iter	Passed	Remaining
0	1	155
1	3	151
2	4	151
3	5	138
4	7	136
5	8	132
6	9	130
7	11	128
8	12	126
9	13	123
10	15	121
11	16	120
12	17	118
13	19	117
14	20	115
15	21	114
16	23	112
17	24	110
18	25	109
19	26	107
20	28	106
21	29	104
22	30	103
23	32	101
24	33	100
25	34	98
26	35	97
27	37	95
28	38	94
29	39	93
30	41	91
31	42	90
32	43	88
33	44	86
34	45	85
35	47	83
36	48	82
37	49	80
38	50	78
39	51	77
40	52	75
41	52	73
42	54	71
43	55	70
44	55	68
45	57	66
46	58	65
47	59	64
48	60	62
49	61	61
50	62	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	48
59	71	47
60	72	46
61	73	44
62	74	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	100	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
